NAME                      ID              SIZE      MODIFIED       
phind-codellama:latest    566e1b629c44    19 GB     5 minutes ago     
granite-code:8b           36c3c3b9683b    4.6 GB    7 minutes ago     
gemma2:9b                 ff02c3702f32    5.4 GB    9 minutes ago     
yi-coder:latest           39c63e7675d7    5.0 GB    9 minutes ago     
starcoder2:3b             9f4ae0aff61e    1.7 GB    21 minutes ago    
codellama:7b              8fdf8f752f6e    3.8 GB    21 minutes ago    
qwen2.5-coder:7b          dae161e27b0e    4.7 GB    22 minutes ago    
opencoder:8b              cd882db52297    4.7 GB    23 minutes ago    
stable-code:3b            37681d29a55a    1.6 GB    24 minutes ago    
hermes3:latest            4f6b83f30b62    4.7 GB    25 minutes ago    
starcoder2:latest         9f4ae0aff61e    1.7 GB    26 minutes ago    
phi4:latest               ac896e5b8b34    9.1 GB    26 minutes ago    
deepseek-coder:6.7b       ce298d984115    3.8 GB    28 minutes ago    
llama3.2:latest           a80c4f17acd5    2.0 GB    29 minutes ago    
llama3.1:8b               46e0c10c039e    4.9 GB    30 minutes ago    
mistral:v0.3              6577803aa9a0    4.4 GB    31 minutes ago    
qwen2.5:7b                845dbda0ea48    4.7 GB    32 minutes ago    
nexusraven:latest         483a8282af74    7.4 GB    33 minutes ago    
deepseek-r1:8b            6995872bfe4c    5.2 GB    35 minutes ago    
dolphin-llama3:8b         613f068e29f8    4.7 GB    37 minutes ago    
